Donald Duck	135-15-3121	Full Professor	Computer Science
Hagrid Pherson	132-43-5421	Full Professor	Computer Science
Wayne Follen	893-62-4462	Adjunct Professor	Computer Science
Mickey Mouse	549-83-1567	Full Professor	Linguistics
Shenandoah Peterson	264-95-5418	Full Professor	Linguistics
Rat Eatsrats	597-12-4832	Adjunct Professor	Linguistics
Josh Matter	789-45-1230	Full Professor	Linguistics
Tarn Marney	115-64-7171	Full Professor	Music
Blast Rocket	585-92-1560	Full Professor	Music
Sheauwn Cranberry	921-25-7777	Full Professor	Music
Drap Wondoodle	895-62-3212	Full Professor	Zen
Rean Neener	651-86-9220	Full Professor	Zen
Eron Snani	996-21-4480	Full Professor	Zen
Churchcar Churchcar	121-21-2121	Full Professor	Churchcar
